Date Time,Temperature,direction,depth,height,Anemometer;wind_speed;Avg (m/s),Wind Vane TMR;wind_direction;Avg (°),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;temperature;Avg (°C),Barometer;air_pressure;Avg (hPa),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²)
2022-08-21 00:01:00,25.18,S,4.5,1,2.1758,195.8894,73.0005,23.8425,1010.4501,13.2365
2022-08-21 00:05:00,25.18,S,4.5,1,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546
2022-08-21 00:08:00,25.12,S,4.5,1,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546
2022-08-21 00:11:00,25.18,S,4.5,1,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546
2022-08-21 00:14:00,25.12,S,4.5,1,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546
2022-08-21 00:18:00,25.12,S,4.5,1,1.7478,193.6007,73.5104,23.3592,1010.316,13.0604
2022-08-21 00:21:00,25.12,S,4.5,1,1.7478,193.6007,73.5104,23.3592,1010.316,13.0604
2022-08-21 00:24:00,25.12,S,4.5,1,1.7478,193.6007,73.5104,23.3592,1010.316,13.0604
2022-08-21 00:27:00,25.06,S,4.5,1,1.6064,188.9758,73.7139,23.1699,1010.2812,13.0236
2022-08-21 00:31:00,25.06,S,4.5,1,1.6064,188.9758,73.7139,23.1699,1010.2812,13.0236
2022-08-21 00:34:00,25.06,S,4.5,1,1.6064,188.9758,73.7139,23.1699,1010.2812,13.0236
2022-08-21 00:37:00,25.06,S,4.5,1,1.3614,199.9231,73.9565,22.9508,1010.184,12.9908
2022-08-21 00:41:00,25.0,S,4.5,1,1.3614,199.9231,73.9565,22.9508,1010.184,12.9908
2022-08-21 00:44:00,25.0,S,4.5,1,1.3614,199.9231,73.9565,22.9508,1010.184,12.9908
2022-08-21 00:47:00,25.0,S,4.5,1,1.2983,204.5676,74.4474,22.7289,1010.0914,12.9867
2022-08-21 00:50:00,25.0,S,4.5,1,1.2983,204.5676,74.4474,22.7289,1010.0914,12.9867
2022-08-21 00:54:00,25.0,S,4.5,1,1.2983,204.5676,74.4474,22.7289,1010.0914,12.9867
2022-08-21 00:57:00,25.0,S,4.5,1,1.4769,196.5173,75.2584,22.6062,1009.9911,13.0195
2022-08-21 01:00:00,25.0,S,4.5,1,1.4769,196.5173,75.2584,22.6062,1009.9911,13.0195
2022-08-21 01:03:00,24.93,S,4.5,1,1.4769,196.5173,75.2584,22.6062,1009.9911,13.0195
2022-08-21 01:07:00,24.93,S,4.5,1,1.5468,198.4684,76.2538,22.5485,1009.9464,13.1055
2022-08-21 01:10:00,24.93,S,4.5,1,1.5468,198.4684,76.2538,22.5485,1009.9464,13.1055
2022-08-21 01:13:00,24.93,S,4.5,1,1.5468,198.4684,76.2538,22.5485,1009.9464,13.1055
2022-08-21 01:16:00,24.87,S,4.5,1,0.9268,221.9534,77.1701,22.4268,1009.9185,12.9621
2022-08-21 01:20:00,24.87,S,4.5,1,0.9268,221.9534,77.1701,22.4268,1009.9185,12.9621
2022-08-21 01:23:00,24.87,S,4.5,1,0.9268,221.9534,77.1701,22.4268,1009.9185,12.9621
2022-08-21 01:26:00,24.87,S,4.5,1,1.2225,221.8955,78.312,22.1617,1009.9254,13.0645
2022-08-21 01:29:00,24.81,S,4.5,1,1.2225,221.8955,78.312,22.1617,1009.9254,13.0645
2022-08-21 01:33:00,24.81,S,4.5,1,1.2225,221.8955,78.312,22.1617,1009.9254,13.0645
2022-08-21 01:36:00,24.81,S,4.5,1,1.7676,204.5288,79.4788,22.0012,1009.9231,13.0645
2022-08-21 01:39:00,24.81,S,4.5,1,1.7676,204.5288,79.4788,22.0012,1009.9231,13.0645
2022-08-21 01:43:00,24.81,S,4.5,1,1.7676,204.5288,79.4788,22.0012,1009.9231,13.0645
2022-08-21 01:46:00,24.75,S,4.5,1,1.3661,204.9264,80.2917,21.9349,1009.8325,12.9294
2022-08-21 01:49:00,24.75,S,4.5,1,1.3661,204.9264,80.2917,21.9349,1009.8325,12.9294
2022-08-21 01:52:00,24.68,S,4.5,1,1.3661,204.9264,80.2917,21.9349,1009.8325,12.9294
2022-08-21 01:56:00,24.75,S,4.5,1,1.2321,202.6867,80.9908,21.7892,1009.7552,12.9294
2022-08-21 01:59:00,24.68,S,4.5,1,1.2321,202.6867,80.9908,21.7892,1009.7552,12.9294
2022-08-21 02:02:00,24.68,S,4.5,1,1.2321,202.6867,80.9908,21.7892,1009.7552,12.9294
2022-08-21 02:05:00,24.68,S,4.5,1,1.2241,204.7994,81.681,21.6562,1009.6991,12.9294
2022-08-21 02:09:00,24.62,S,4.5,1,1.2241,204.7994,81.681,21.6562,1009.6991,12.9294
2022-08-21 02:12:00,24.62,S,4.5,1,1.2241,204.7994,81.681,21.6562,1009.6991,12.9294
2022-08-21 02:15:00,24.62,S,4.5,1,1.2061,197.1461,82.2609,21.534,1009.724,12.9048
2022-08-21 02:19:00,24.62,S,4.5,1,1.2061,197.1461,82.2609,21.534,1009.724,12.9048
2022-08-21 02:22:00,24.56,S,4.5,1,1.2061,197.1461,82.2609,21.534,1009.724,12.9048
2022-08-21 02:25:00,24.56,S,4.5,1,1.3424,201.9105,82.7855,21.4136,1009.7066,12.9048
