Date Time,S4.5cm@1m,E9cm@1m,N13.5cm@1m,E4.5cm@2m,N9cm@2m,W13.5cm@2m,N4.5cm@3m,W9cm@3m,S13.5cm@3m,W_Ext_Temp@3.5m
8/21/2022 0:01,25.18,26.25,24.62,25.62,26.12,26,25.25,26,25.81,23.93
8/21/2022 0:05,25.18,26.18,24.62,25.68,26.12,26,25.25,26,25.81,23.81
8/21/2022 0:08,25.12,26.18,24.62,25.62,26.12,26,25.18,25.93,25.81,23.75
8/21/2022 0:11,25.18,26.18,24.56,25.62,26.06,26,25.18,26,25.81,23.68
8/21/2022 0:14,25.12,26.18,24.62,25.62,26.06,26,25.18,26,25.75,23.62
8/21/2022 0:18,25.12,26.18,24.56,25.62,26.06,26,25.18,25.93,25.75,23.56
8/21/2022 0:21,25.12,26.18,24.62,25.62,26.06,26,25.18,25.93,25.75,23.5
8/21/2022 0:24,25.12,26.12,24.56,25.56,26.06,25.93,25.12,25.93,25.75,23.43
8/21/2022 0:27,25.06,26.18,24.56,25.56,26.06,26,25.12,25.93,25.75,23.31
8/21/2022 0:31,25.06,26.12,24.5,25.56,26,26,25.12,25.93,25.75,23.25
8/21/2022 0:34,25.06,26.12,24.56,25.56,26,26,25.12,25.87,25.75,23.18
8/21/2022 0:37,25.06,26.12,24.56,25.56,26,26,25.06,25.87,25.75,23.12
8/21/2022 0:41,25,26.12,24.5,25.5,26,26,25.06,25.93,25.75,23.12
8/21/2022 0:44,25,26.12,24.5,25.5,26,26,25.06,25.93,25.68,22.93
8/21/2022 0:47,25,26.12,24.5,25.5,25.93,26,25.06,25.87,25.75,22.87
8/21/2022 0:50,25,26.12,24.5,25.5,25.93,25.93,25,25.87,25.75,22.81
8/21/2022 0:54,25,26.12,24.37,25.5,26,25.93,25,25.87,25.68,22.87
8/21/2022 0:57,25,26.12,24.43,25.43,26,25.93,25,25.87,25.75,22.87
8/21/2022 1:00,25,26.12,24.43,25.43,25.93,25.93,25,25.87,25.68,22.81
8/21/2022 1:03,24.93,26.06,24.43,25.43,25.93,25.93,24.93,25.81,25.68,22.81
8/21/2022 1:07,24.93,26.06,24.43,25.43,25.93,25.93,24.93,25.81,25.68,22.75
8/21/2022 1:10,24.93,26.06,24.43,25.37,25.87,25.93,24.93,25.81,25.68,22.68
8/21/2022 1:13,24.93,26.06,24.43,25.43,25.87,25.93,24.93,25.81,25.68,22.75
8/21/2022 1:16,24.87,26.06,24.37,25.43,25.87,25.93,24.87,25.81,25.68,22.68
8/21/2022 1:20,24.87,26.06,24.37,25.37,25.87,25.93,24.87,25.81,25.68,22.68
8/21/2022 1:23,24.87,26,24.31,25.37,25.87,25.93,24.87,25.81,25.68,22.56
8/21/2022 1:26,24.87,26.06,24.31,25.37,25.81,25.93,24.87,25.81,25.68,22.56
8/21/2022 1:29,24.81,26,24.31,25.37,25.87,25.93,24.81,25.81,25.68,22.37
8/21/2022 1:33,24.81,26,24.31,25.31,25.81,25.93,24.81,25.75,25.68,22.43
8/21/2022 1:36,24.81,26,24.31,25.31,25.81,25.87,24.81,25.75,25.68,22.37
8/21/2022 1:39,24.81,26,24.25,25.31,25.81,25.93,24.75,25.75,25.68,22.31
8/21/2022 1:43,24.81,26,24.25,25.25,25.81,25.87,24.75,25.75,25.62,22.31
8/21/2022 1:46,24.75,25.93,24.31,25.25,25.75,25.87,24.75,25.75,25.62,22.18
8/21/2022 1:49,24.75,25.93,24.31,25.25,25.81,25.87,24.75,25.75,25.62,22.12
8/21/2022 1:52,24.68,25.93,24.31,25.25,25.75,25.87,24.68,25.75,25.62,22.12
8/21/2022 1:56,24.75,25.93,24.25,25.25,25.75,25.87,24.68,25.68,25.62,22.12
8/21/2022 1:59,24.68,25.93,24.18,25.18,25.68,25.87,24.68,25.68,25.62,22.12
8/21/2022 2:02,24.68,25.93,24.18,25.18,25.68,25.87,24.68,25.68,25.62,22
8/21/2022 2:05,24.68,25.93,24.18,25.18,25.68,25.81,24.62,25.68,25.62,21.87
8/21/2022 2:09,24.62,25.87,24.18,25.18,25.68,25.87,24.62,25.68,25.62,21.93
8/21/2022 2:12,24.62,25.87,24.12,25.12,25.68,25.81,24.62,25.68,25.62,21.81
8/21/2022 2:15,24.62,25.87,24.18,25.12,25.68,25.81,24.56,25.68,25.56,21.81
8/21/2022 2:19,24.62,25.87,24.06,25.12,25.68,25.81,24.56,25.62,25.56,21.87
8/21/2022 2:22,24.56,25.87,24.06,25.12,25.68,25.81,24.56,25.62,25.56,21.75
8/21/2022 2:25,24.56,25.81,24.06,25.06,25.68,25.81,24.5,25.62,25.56,21.68
8/21/2022 2:28,24.56,25.81,24.06,25.06,25.62,25.81,24.5,25.62,25.56,21.68
8/21/2022 2:32,24.56,25.81,24,25.06,25.62,25.81,24.5,25.56,25.56,21.56
8/21/2022 2:35,24.5,25.81,23.93,25.06,25.62,25.81,24.43,25.56,25.56,21.5
8/21/2022 2:38,24.5,25.81,24,25.06,25.56,25.81,24.43,25.56,25.56,21.62
8/21/2022 2:41,24.5,25.75,24,25,25.56,25.81,24.43,25.56,25.56,21.5
8/21/2022 2:45,24.43,25.81,23.93,25,25.56,25.81,24.37,25.56,25.5,21.5
8/21/2022 2:51,24.43,25.75,23.93,24.93,25.56,25.81,24.37,25.5,25.5,21.5
8/21/2022 2:55,24.43,25.75,23.87,24.93,25.5,25.81,24.37,25.5,25.5,21.5
8/21/2022 2:58,24.43,25.75,23.87,24.93,25.5,25.75,24.31,25.5,25.5,21.5
8/21/2022 3:01,24.37,25.75,23.87,24.93,25.5,25.75,24.31,25.5,25.5,21.43
8/21/2022 3:04,24.37,25.68,23.87,24.93,25.5,25.75,24.31,25.5,25.5,21.5
8/21/2022 3:08,24.37,25.75,23.81,24.87,25.43,25.75,24.25,25.43,25.5,21.43
8/21/2022 3:11,24.37,25.68,23.81,24.87,25.43,25.75,24.25,25.5,25.43,21.43
8/21/2022 3:14,24.31,25.68,23.81,24.87,25.43,25.75,24.25,25.43,25.43,21.43
8/21/2022 3:17,24.31,25.68,23.81,24.81,25.43,25.75,24.25,25.43,25.43,21.37
8/21/2022 3:21,24.31,25.68,23.81,24.81,25.43,25.75,24.18,25.43,25.43,21.31
8/21/2022 3:24,24.31,25.68,23.75,24.81,25.37,25.68,24.18,25.37,25.43,21.18
8/21/2022 3:27,24.25,25.68,23.75,24.81,25.37,25.75,24.18,25.37,25.43,21.31
8/21/2022 3:30,24.25,25.62,23.68,24.75,25.37,25.68,24.12,25.37,25.37,21.25
8/21/2022 3:34,24.25,25.62,23.68,24.75,25.37,25.68,24.12,25.37,25.43,21.25
8/21/2022 3:37,24.25,25.62,23.68,24.75,25.37,25.75,24.12,25.37,25.43,21.25
8/21/2022 3:40,24.25,25.62,23.68,24.75,25.31,25.68,24.12,25.37,25.37,21.25
8/21/2022 3:44,24.18,25.56,23.68,24.68,25.31,25.68,24.06,25.31,25.37,21.18
