,Temperature,depth,height,Anemometer;wind_speed;Avg (m/s),Wind Vane TMR;wind_direction;Avg (°),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;temperature;Avg (°C),Barometer;air_pressure;Avg (hPa),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),north,south,west,east,second,minute,hour,day,month,year
0,25.18,4.5,1.0,2.1758,195.8894,73.0005,23.8425,1010.4501,13.2365,0,1,0,0,00,01,00,21,08,2022
1,25.18,4.5,1.0,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546,0,1,0,0,00,05,00,21,08,2022
2,25.12,4.5,1.0,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546,0,1,0,0,00,08,00,21,08,2022
3,25.18,4.5,1.0,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546,0,1,0,0,00,11,00,21,08,2022
4,25.12,4.5,1.0,2.0381,195.6512,73.2226,23.5854,1010.4067,13.1546,0,1,0,0,00,14,00,21,08,2022
5,25.12,4.5,1.0,1.7478,193.6007,73.5104,23.3592,1010.316,13.0604,0,1,0,0,00,18,00,21,08,2022
6,25.12,4.5,1.0,1.7478,193.6007,73.5104,23.3592,1010.316,13.0604,0,1,0,0,00,21,00,21,08,2022
7,25.12,4.5,1.0,1.7478,193.6007,73.5104,23.3592,1010.316,13.0604,0,1,0,0,00,24,00,21,08,2022
8,25.06,4.5,1.0,1.6064,188.9758,73.7139,23.1699,1010.2812,13.0236,0,1,0,0,00,27,00,21,08,2022
9,25.06,4.5,1.0,1.6064,188.9758,73.7139,23.1699,1010.2812,13.0236,0,1,0,0,00,31,00,21,08,2022
10,25.06,4.5,1.0,1.6064,188.9758,73.7139,23.1699,1010.2812,13.0236,0,1,0,0,00,34,00,21,08,2022
11,25.06,4.5,1.0,1.3614,199.9231,73.9565,22.9508,1010.184,12.9908,0,1,0,0,00,37,00,21,08,2022
12,25.0,4.5,1.0,1.3614,199.9231,73.9565,22.9508,1010.184,12.9908,0,1,0,0,00,41,00,21,08,2022
13,25.0,4.5,1.0,1.3614,199.9231,73.9565,22.9508,1010.184,12.9908,0,1,0,0,00,44,00,21,08,2022
14,25.0,4.5,1.0,1.2983,204.5676,74.4474,22.7289,1010.0914,12.9867,0,1,0,0,00,47,00,21,08,2022
15,25.0,4.5,1.0,1.2983,204.5676,74.4474,22.7289,1010.0914,12.9867,0,1,0,0,00,50,00,21,08,2022
16,25.0,4.5,1.0,1.2983,204.5676,74.4474,22.7289,1010.0914,12.9867,0,1,0,0,00,54,00,21,08,2022
17,25.0,4.5,1.0,1.4769,196.5173,75.2584,22.6062,1009.9911,13.0195,0,1,0,0,00,57,00,21,08,2022
18,25.0,4.5,1.0,1.4769,196.5173,75.2584,22.6062,1009.9911,13.0195,0,1,0,0,00,00,01,21,08,2022
19,24.93,4.5,1.0,1.4769,196.5173,75.2584,22.6062,1009.9911,13.0195,0,1,0,0,00,03,01,21,08,2022
20,24.93,4.5,1.0,1.5468,198.4684,76.2538,22.5485,1009.9464,13.1055,0,1,0,0,00,07,01,21,08,2022
21,24.93,4.5,1.0,1.5468,198.4684,76.2538,22.5485,1009.9464,13.1055,0,1,0,0,00,10,01,21,08,2022
22,24.93,4.5,1.0,1.5468,198.4684,76.2538,22.5485,1009.9464,13.1055,0,1,0,0,00,13,01,21,08,2022
23,24.87,4.5,1.0,0.9268,221.9534,77.1701,22.4268,1009.9185,12.9621,0,1,0,0,00,16,01,21,08,2022
24,24.87,4.5,1.0,0.9268,221.9534,77.1701,22.4268,1009.9185,12.9621,0,1,0,0,00,20,01,21,08,2022
